Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1959     ,     30.4,     30.1,     30.7,     30.6,     30.6,     30.2,     30.3,     30.9,     31.1,     31.3,     31.3,     30.1,     30.6,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1960     ,     30.3,     29.9,     30.0,     30.0,     30.2,     30.5,     30.5,     30.5,     30.6,     31.1,     31.2,     30.5,     30.4,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1961     ,     30.7,     31.0,     30.0,     30.0,     30.2,     30.0,     30.2,     30.3,     30.9,     31.2,     31.2,     31.2,     30.6,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1962     ,     31.3,     31.0,     31.0,     30.6,     30.9,     30.6,     30.2,     30.6,     30.4,     31.3,     30.6,     31.2,     30.8,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1963     ,     30.8,     30.9,     30.9,     30.7,     30.7,     30.5,     30.8,     30.8,     30.4,     30.5,     30.9,     29.9,     30.7,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1964     ,     30.8,     30.2,     30.2,     30.2,     30.4,     30.2,     30.6,     30.1,     30.4,     30.6,     31.1,     30.6,     30.5,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1965     ,     30.0,     29.7,     30.6,     30.0,     30.5,     29.8,     29.0,     29.4,     29.8,     29.9,     30.3,     30.4,     30.0,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1966     ,     30.1,     30.3,     30.3,     30.3,     30.8,     30.7,     30.5,     31.1,     32.0,     31.6,     31.7,     31.6,     30.9,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1967     ,     31.5,     30.9,     30.9,     30.3,     31.0,     31.0,     31.0,     30.8,     30.9,     31.5,     31.7,     31.1,     31.1,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1968     ,     31.2,     30.5,     30.9,     30.1,     30.2,     30.4,     30.1,     30.7,     31.3,     32.0,     31.8,     31.8,     30.9,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1969     ,         ,     30.9,     30.5,     30.5,     31.1,     30.8,     31.4,     32.0,         ,     32.3,     32.1,     31.4,         ,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1970     ,     30.7,     30.2,     31.2,     30.9,     30.7,     30.5,     30.8,     31.1,     31.3,     31.5,     31.2,     31.7,     31.0,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1971     ,     31.9,     31.7,     31.1,     31.2,     30.7,     30.1,     30.1,     30.2,         ,     31.7,     32.1,     31.4,         ,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1972     ,     30.9,     31.3,     32.1,     31.8,     31.4,     30.9,     30.5,     30.2,     30.7,     31.4,     31.7,     31.0,     31.2,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1973     ,     31.3,     31.2,     31.0,     30.6,     31.0,     30.7,     30.5,     30.7,     30.7,     30.7,     31.2,         ,         ,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1974     ,         ,     30.7,     30.7,     31.1,     30.7,     30.7,     30.6,     30.2,     30.9,     31.4,     31.6,     30.8,         ,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1975     ,     30.0,     30.3,     30.1,     30.4,     30.5,     30.2,     30.1,     30.1,     30.3,     30.7,     30.8,     30.9,     30.4,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1976     ,     31.8,     31.1,     30.3,     30.3,     30.9,     30.0,     29.8,     30.3,     30.8,     30.9,     31.8,     30.9,     30.7,QC,#
dx,200245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1977     ,     30.1,     30.8,     30.2,     30.3,     31.1,     31.1,     30.8,     31.1,     31.1,         ,         ,         ,         ,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1951     ,     24.5,     25.2,     24.7,     24.7,     23.7,     24.0,     23.7,     23.6,     24.6,     24.4,     25.0,     24.4,     24.4,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1952     ,     25.3,     25.5,     25.1,     24.8,     25.3,     24.8,     24.8,     24.5,     24.8,     25.7,     24.8,     24.3,     25.0,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1953     ,     24.2,     24.1,     24.9,         ,     24.0,     24.5,     23.7,     23.5,     23.6,     23.9,     24.3,     23.9,         ,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1954     ,     24.5,     24.4,     24.2,     25.3,     24.6,     24.9,     25.1,     24.4,     24.2,     23.9,     24.1,     24.9,     24.5,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1955     ,     23.7,     24.8,     24.1,     24.2,     24.5,     24.7,     24.2,     24.2,     23.9,     23.7,     24.2,     23.9,     24.2,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1956     ,     24.2,     23.6,     24.5,     24.5,     24.4,     24.3,     24.1,     24.7,     24.4,     25.0,     24.5,     24.6,     24.4,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1957     ,     24.3,     24.3,     24.8,     24.7,     24.6,     24.8,     24.3,     24.6,     23.9,     24.3,     24.4,     24.6,     24.5,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1958     ,     24.6,     24.6,     24.7,     25.1,     25.1,     24.7,     24.8,     25.4,     25.9,     26.2,     24.9,     24.7,     25.1,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1959     ,     24.3,     24.4,     25.2,     25.0,     25.7,     25.4,     25.3,     25.2,     25.8,     25.5,     25.5,     24.6,     25.2,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1960     ,     24.6,     25.1,     25.1,     24.6,     25.4,     25.6,     25.2,     25.3,     25.5,     25.4,     25.4,     24.9,     25.2,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1961     ,     25.0,     25.4,     24.5,     24.6,     25.2,     24.9,     24.9,     24.6,     24.9,     24.8,     24.5,     24.7,     24.8,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1962     ,     25.6,     25.2,     25.1,     25.0,     25.9,     25.0,     25.4,     25.2,     25.2,     26.0,     25.4,     25.6,     25.4,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1963     ,     25.6,     25.5,     25.6,     25.2,     26.0,     25.2,     25.1,     25.2,     24.4,     24.5,     24.6,     23.9,     25.1,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1964     ,     24.5,     24.6,     25.0,     25.4,     25.2,     25.1,     25.2,     25.0,     25.5,     24.9,     25.4,     24.2,     25.0,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1965     ,     24.3,     24.0,     24.7,     23.9,     25.0,     24.4,     24.3,     24.3,     24.2,     24.2,     24.8,     24.6,     24.4,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1966     ,     24.4,     24.9,     25.0,     24.9,     25.3,     25.7,     25.2,     25.6,     25.0,         ,     25.4,     25.2,         ,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1967     ,     25.4,     25.3,     25.2,     24.8,     25.9,     25.9,     25.6,     25.5,     25.3,     25.9,     26.2,     25.0,     25.5,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1968     ,     25.2,     24.7,     25.8,     25.1,     25.2,     25.6,     25.2,     25.6,     26.2,     26.1,     25.7,     26.0,     25.5,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1969     ,         ,     25.4,     24.9,     25.3,     26.0,     25.8,     25.0,     26.0,         ,     26.2,     25.9,     25.6,         ,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1970     ,     25.4,     25.0,     25.6,     25.3,     25.9,     25.8,     25.4,     25.8,     25.7,     25.5,     24.9,     25.0,     25.4,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1971     ,     25.0,     24.9,     24.7,     24.6,     25.5,     25.5,     25.0,     25.0,         ,     24.8,     25.6,     25.1,         ,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1972     ,     24.7,     25.3,     25.7,     25.3,     24.8,     25.2,     24.7,     24.3,     24.7,     25.0,     25.1,     24.8,     25.0,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1973     ,     25.1,     25.2,     25.1,     24.9,     25.1,     25.4,     25.1,     25.0,     25.0,     24.6,     24.3,     25.0,     25.0,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1974     ,     24.1,     24.9,     24.9,     25.5,     25.6,     25.3,     25.0,     25.1,     25.4,     25.1,     25.1,     24.5,     25.0,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1975     ,     24.4,     25.2,     24.9,     25.1,     25.4,     25.1,     25.0,     25.1,     25.5,     25.0,     24.7,     24.9,     25.0,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1976     ,     25.3,     24.7,     25.1,     24.9,     25.2,     24.5,     24.2,     24.5,     25.3,     25.4,     25.6,     24.9,     25.0,QC,#
dx,200245,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1977     ,     24.6,     24.8,     24.6,     25.0,     25.3,     24.9,     24.3,     24.3,     24.5,         ,         ,         ,         ,QC,#
#
Monthly summary for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Statistic description,January,February,March,April,May,June,July,August,September,October,November,December,Annual,#
dx,200245,Highest monthly temperature in degrees C calculated using available data between 1951 and 1977                                                                                                          ,Average                            ,     32.4,     32.2,     32.0,     32.0,     31.8,     31.6,     31.8,     31.6,     32.1,     32.4,     32.9,     32.6,     33.6,#
dx,200245,Highest monthly temperature in degrees C calculated using available data between 1951 and 1977                                                                                                          ,Highest                            ,     34.4,     37.1,     35.1,     35.0,     33.0,     33.0,     35.5,     33.8,     35.0,     34.3,     35.9,     35.6,     35.9,#
dx,200245,Highest monthly temperature in degrees C calculated using available data between 1951 and 1977                                                                                                          ,Lowest                             ,     31.5,     30.7,     30.9,     30.7,     30.8,     30.7,     30.6,     30.6,     30.8,     30.6,     31.1,     31.7,     32.2,#
dx,200245,Lowest monthly temperature in degrees C calculated using available data between 1951 and 1977                                                                                                           ,Average                            ,     22.7,     22.8,     22.6,     22.7,     23.0,     23.0,     22.7,     22.8,     22.9,     23.1,     23.0,     22.8,     21.7,#
dx,200245,Lowest monthly temperature in degrees C calculated using available data between 1951 and 1977                                                                                                           ,Highest                            ,     23.8,     23.8,     24.4,     23.9,     24.4,     24.4,     23.7,     24.4,     24.7,     25.0,     24.9,     23.9,     22.8,#
dx,200245,Lowest monthly temperature in degrees C calculated using available data between 1951 and 1977                                                                                                           ,Lowest                             ,     21.1,     21.7,     21.1,     21.7,     20.4,     21.1,     20.3,     21.1,     20.6,     21.4,     21.2,     21.0,     20.3,#
dx,200245,Mean daily maximum temperature in degrees C calculated using available data between 1951 and 1977                                                                                                       ,Average                            ,     30.7,     30.6,     30.5,     30.5,     30.6,     30.4,     30.4,     30.5,     30.8,     31.1,     31.2,     30.9,     30.7,#
dx,200245,Mean daily maximum temperature in degrees C calculated using available data between 1951 and 1977                                                                                                       ,Highest                            ,     31.9,     31.7,     32.1,     31.8,     31.4,     31.1,     31.4,     32.0,     32.0,     32.3,     32.1,     31.8,     31.2,#
dx,200245,Mean daily maximum temperature in degrees C calculated using available data between 1951 and 1977                                                                                                       ,Lowest                             ,     29.9,     29.1,     29.7,     29.9,     29.6,     29.8,     29.0,     29.4,     29.8,     29.9,     30.2,     29.9,     30.0,#
dx,200245,Mean daily minimum temperature in degrees C calculated using available data between 1951 and 1977                                                                                                       ,Average                            ,     24.7,     24.9,     25.0,     24.9,     25.2,     25.1,     24.8,     24.9,     24.9,     25.0,     25.0,     24.8,     24.9,#
dx,200245,Mean daily minimum temperature in degrees C calculated using available data between 1951 and 1977                                                                                                       ,Highest                            ,     25.6,     25.5,     25.8,     25.5,     26.0,     25.9,     25.6,     26.0,     26.2,     26.2,     26.2,     26.0,     25.5,#
dx,200245,Mean daily minimum temperature in degrees C calculated using available data between 1951 and 1977                                                                                                       ,Lowest                             ,     23.7,     23.6,     24.1,     23.9,     23.7,     24.0,     23.7,     23.5,     23.6,     23.7,     24.1,     23.9,     24.2,#
