Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1973     ,     23.3,     22.8,     18.3,     17.6,     13.6,      9.4,     11.2,     12.2,     15.0,     17.3,     17.5,     22.6,     16.7,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1974     ,     22.6,         ,     23.1,     15.6,     14.1,     11.5,      9.7,         ,         ,         ,         ,     20.1,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1975     ,     21.0,     23.2,     19.3,     16.6,     12.9,     10.8,     11.6,     10.9,     14.9,     16.5,     18.5,     22.3,     16.5,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1976     ,     22.7,     23.7,     19.9,     17.0,     13.8,     11.1,     10.5,     10.3,     12.8,     13.8,     16.9,     18.5,     15.9,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1977     ,     23.3,     23.1,     19.6,         ,     13.2,     10.5,     10.2,     13.4,     13.2,     17.9,     18.0,     19.8,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1978     ,     22.4,     22.4,         ,     16.5,     14.9,      9.9,     10.0,     10.9,     14.3,     17.3,     18.1,     19.7,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1979     ,     24.5,     23.6,     20.2,         ,         ,         ,         ,         ,         ,     17.0,     19.2,     20.9,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1980     ,     19.5,     22.2,     19.6,     18.9,         ,         ,         ,         ,         ,     18.9,     19.6,     22.5,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1981     ,     25.4,     24.7,     19.8,         ,         ,         ,         ,         ,         ,         ,     18.9,     21.4,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1982     ,     23.9,     24.3,     22.3,         ,         ,         ,         ,         ,         ,     16.7,     21.3,     21.2,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1983     ,     20.7,     24.6,     20.6,         ,         ,         ,         ,         ,         ,         ,     17.7,     22.0,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1984     ,     21.7,     22.4,     19.8,         ,         ,         ,         ,         ,         ,         ,     20.1,     18.0,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1985     ,     21.2,     21.2,     21.4,         ,         ,         ,         ,         ,         ,         ,     18.8,     19.6,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1986     ,     20.5,     20.1,     21.3,     18.5,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1987     ,     20.2,     22.6,     19.2,     19.0,         ,         ,         ,         ,         ,     17.3,     19.3,     20.5,         ,QC,#
dx, 95001,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1989     ,     24.4,     24.8,     21.7,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
