Monthly data for requested period 1800 to 2014 - annual values have been calculated using the functions:average [mean daily maximum temperature in degrees C, mean daily minimum temperature in degrees C]highest [highest monthly temperature in degrees C]lowest [lowest monthly temperature in degrees C]#
dx,Station Number,Element description,Year(s),January,February,March,April,May,June,July,August,September,October,November,December,Annual,Quality control field,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1949     ,     15.7,     15.8,     15.6,     15.3,     13.2,     12.4,     11.2,     11.2,     11.6,     11.1,     12.8,     15.2,     13.4,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1950     ,     16.1,     16.2,     16.3,     15.9,     15.4,     11.8,     10.7,     10.4,     10.7,     10.8,     12.0,     14.3,     13.4,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1951     ,     16.0,     15.7,     16.0,     14.5,     12.6,     11.6,     10.3,      8.7,     11.6,     11.8,     13.0,     14.2,     13.0,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1952     ,     15.6,     16.2,     15.7,     14.4,     12.3,     11.8,      9.8,     10.7,      9.6,     10.9,     12.2,     12.9,     12.7,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1953     ,     14.8,     15.3,     16.2,     14.9,     13.2,     10.9,     10.1,      9.7,     11.1,     11.1,     11.7,     13.1,     12.7,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1954     ,     15.8,     15.7,     15.1,     13.1,     11.9,     11.2,     10.2,     10.1,     11.2,     12.2,     12.4,     14.1,     12.8,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1955     ,     15.7,     16.4,     16.0,     13.6,     12.2,     10.2,     10.3,      9.2,      9.8,     10.3,     12.2,     13.6,     12.5,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1956     ,     16.6,     16.6,     16.1,     13.7,     11.7,      8.9,         ,      8.3,      9.9,     10.9,     12.9,     13.9,         ,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1957     ,     16.1,     15.7,     15.5,     14.0,     12.8,     12.0,      9.7,     10.8,     10.5,     11.9,     13.4,     14.5,     13.1,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1958     ,     16.6,     16.7,     16.2,     14.6,     12.9,     11.6,      9.4,     10.4,     10.2,     10.6,     13.1,     14.8,     13.1,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1959     ,     15.7,     16.0,     15.9,     13.7,     12.9,     11.7,     10.8,     10.7,     10.3,     11.7,     12.2,     12.5,     12.8,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1960     ,     13.6,     14.9,     13.5,     12.2,     11.3,     10.1,      8.6,      9.4,     10.1,     11.8,     12.3,     14.5,     11.9,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1961     ,     16.7,     17.6,     16.5,     13.3,     14.2,     11.7,     10.4,      9.7,     11.3,     11.3,     12.8,     14.5,     13.3,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1962     ,     16.4,     15.6,     15.6,     15.4,     13.5,     12.3,     10.4,     10.7,     10.0,     10.1,     12.7,     14.9,     13.1,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1963     ,     15.8,     16.0,     16.6,     14.5,     13.5,     11.2,      9.6,      9.7,     10.8,     12.9,     13.7,     15.4,     13.3,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1964     ,     15.6,     16.5,     15.2,     13.4,     12.6,     11.8,      9.9,      9.8,      9.3,      9.6,     12.1,     13.3,     12.4,QC,#
dx,  9787,Mean daily minimum temperature in degrees C                                                                                                                                                             ,1965     ,     15.4,     16.1,     15.6,     14.9,     12.4,     10.8,     10.1,      9.7,     10.5,     12.2,     12.3,     15.1,     12.9,QC,#
