dx, 48245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2009     ,     17.8,     15.2,     12.2,      2.4,      2.7,     -0.6,     -0.2,         ,         ,         ,         ,         ,         ,QC,#
dx, 48245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2011     ,         ,         ,         ,         ,         ,     -2.9,     -2.8,      0.9,      1.8,      6.6,     13.3,     12.3,         ,QC,#
dx, 48245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2012     ,     16.3,         ,      8.9,      3.1,      0.0,     -1.1,     -3.0,     -2.7,     -0.6,      3.1,     11.7,     12.8,         ,QC,#
dx, 48245,Lowest monthly temperature in degrees C                                                                                                                                                                 ,2013     ,     14.5,     12.3,      9.2,      5.1,      1.3,         ,         ,         ,         ,         ,         ,         ,         ,QC,#
dx, 48245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,1999     ,     38.0,     33.1,     32.2,     24.4,     23.0,     19.3,     18.7,     21.5,     26.3,     29.3,     27.6,     30.5,     27.0,QC,#
dx, 48245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,2000     ,     33.3,         ,         ,         ,         ,         ,     19.2,         ,         ,     27.1,     30.5,     35.4,         ,QC,#
dx, 48245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,2001     ,     39.6,     37.6,     31.7,     29.3,     22.6,     20.0,     18.2,     21.0,     25.6,     26.7,     30.9,     35.3,     28.2,QC,#
dx, 48245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,2002     ,     37.3,     33.8,     33.9,     30.0,     22.6,     20.0,     20.2,     22.4,     26.0,     30.8,     36.3,     36.3,     29.1,QC,#
dx, 48245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,2003     ,     39.3,     35.2,     31.5,     26.8,     22.5,         ,     19.1,     20.4,     26.5,     26.8,     32.8,     39.1,         ,QC,#
dx, 48245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,2004     ,     36.7,     37.4,     33.6,     29.4,     20.8,     18.5,     17.4,     20.9,     24.9,     30.2,     31.7,     35.1,     28.1,QC,#
dx, 48245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,2005     ,     37.8,     36.4,     32.9,     32.1,     23.7,     19.5,         ,     20.3,     24.1,     31.1,     33.7,     38.7,         ,QC,#
dx, 48245,Mean daily maximum temperature in degrees C                                                                                                                                                             ,2006     ,     39.4,         ,     33.7,     26.8,     21.7,     17.9,     17.8,     21.9,     26.8,     32.2,     35.4,     34.8,         ,QC,#
