dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1996     ,     43.6,     41.5,     39.7,     39.3,     36.7,     36.0,     37.6,     38.5,     41.0,     42.0,     43.0,     42.8,     43.6,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1997     ,     38.9,     38.6,     39.9,     38.7,     37.3,     35.4,     34.5,     35.6,     40.7,     42.1,     43.9,     41.3,     43.9,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1998     ,     41.2,     40.6,     40.8,     41.6,     37.6,     36.9,     35.9,     38.2,     40.1,     42.2,     41.3,     39.0,     42.2,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,1999     ,     40.6,     38.1,     37.6,     36.6,     35.7,     34.6,     34.4,     36.7,     38.9,     39.7,     40.7,     39.7,     40.7,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,2000     ,     38.7,     40.1,     37.5,     37.7,     34.4,     32.8,     34.5,     37.8,     39.2,     40.3,     42.7,     38.9,     42.7,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,2001     ,     40.2,     39.0,     37.9,     36.6,     36.9,     35.5,     33.3,     35.8,     39.3,     43.1,     41.5,     40.5,     43.1,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,2002     ,     40.0,     37.9,     39.9,     38.9,     37.3,     35.2,     34.7,     35.2,     39.4,     44.0,     42.0,     43.6,     44.0,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,2003     ,     43.3,     42.2,     38.6,     40.0,     36.6,     35.5,     34.5,     36.3,     40.4,     42.1,     42.5,     42.2,     43.3,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,2004     ,     41.1,     37.2,     38.5,     37.6,     36.0,     34.6,     34.6,     35.1,     38.4,     42.1,     43.4,     43.0,     43.4,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,2005     ,     42.4,     41.2,     41.6,     39.1,     36.8,     34.5,     35.9,     35.7,     39.7,     44.1,     43.0,     41.4,     44.1,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,2006     ,     39.5,     39.0,     37.6,     37.4,     33.4,     31.6,     34.2,     35.3,     39.2,     39.8,     43.3,     42.6,     43.3,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,2007     ,     40.1,     41.1,     39.1,     37.9,     38.5,     32.5,     34.0,     36.0,     40.8,     42.5,     42.5,     43.0,     43.0,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,2008     ,     41.5,     39.5,     38.2,     37.3,     36.4,     34.7,     35.5,     36.5,     39.9,     41.1,     43.2,     41.0,     43.2,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,2009     ,     39.5,     39.0,     39.8,     38.8,     35.6,     35.1,     36.1,     37.5,     41.0,     41.0,     43.0,     44.0,     44.0,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,2010     ,     40.0,     41.0,     40.3,     40.9,     36.5,     34.5,     36.6,     38.5,     41.0,     39.2,     41.5,     41.8,     41.8,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,2011     ,     38.8,     37.6,     35.7,     34.3,     34.1,     32.1,     32.9,     35.7,     39.4,     42.5,     41.9,     41.5,     42.5,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,2012     ,     41.2,     40.9,     36.9,     37.5,     35.1,     33.5,     34.4,     37.2,     40.1,     40.3,     41.1,     42.9,     42.9,QC,#
dx,  1013,Highest monthly temperature in degrees C                                                                                                                                                                ,2013     ,     41.6,     41.5,     40.0,     39.2,     37.9,         ,         ,         ,         ,         ,         ,     41.0,         ,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1968     ,         ,         ,         ,         ,     15.0,     15.1,     11.3,     14.0,     18.3,     23.3,     21.1,     21.4,         ,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1969     ,     23.3,     22.3,     21.7,     17.2,     16.1,     13.9,     13.1,     15.6,     16.1,     19.2,     23.3,     22.9,     13.1,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1970     ,     21.4,     21.4,     19.9,     17.4,     15.6,     15.7,     10.6,     14.9,     16.7,     23.3,     20.6,     21.2,     10.6,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1971     ,     21.7,     21.1,     20.6,     17.8,     16.7,      9.6,     12.0,     13.4,     17.9,     22.4,     22.8,     22.2,      9.6,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1972     ,     21.1,     21.2,     21.8,     17.8,     16.1,     15.6,     11.2,     18.3,     17.4,     20.2,     21.8,     22.8,     11.2,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1973     ,     21.5,     23.0,     23.2,     19.8,     17.0,     16.8,     14.6,     16.5,     17.5,     19.6,     22.1,     21.5,     14.6,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1974     ,     22.6,     22.5,     22.0,     19.7,     13.2,     11.4,     10.8,     15.2,     20.0,     23.5,     22.7,     23.0,     10.8,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1975     ,     21.0,     22.3,     22.8,     18.5,     15.3,     11.0,     15.0,     15.0,     18.4,     20.5,     21.7,     22.8,     11.0,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1976     ,     21.2,     22.1,     19.0,     17.3,     14.1,     10.3,     12.6,     14.0,     15.2,     23.4,     21.6,     24.5,     10.3,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1977     ,     22.8,     22.3,     21.0,     18.4,     15.7,     11.4,     11.2,     11.9,     16.5,     21.8,     21.0,     19.6,     11.2,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1978     ,     22.7,     21.5,     22.6,     18.5,     19.1,     11.6,     11.0,     17.3,     16.8,     19.4,     22.0,     20.9,     11.0,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1979     ,     21.5,     23.0,     21.4,     19.4,     16.4,     12.8,     11.5,     12.0,     19.2,     22.3,     24.2,     21.6,     11.5,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1980     ,     21.6,     22.8,     22.0,     17.1,         ,     14.5,     12.5,     14.5,     19.0,     24.0,     24.4,     22.2,         ,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1981     ,     23.0,     23.0,     21.6,     20.4,     18.0,     16.0,     14.2,     13.6,     18.8,     17.6,     18.6,     21.3,     13.6,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1982     ,     22.1,     22.5,     20.8,     20.0,     16.0,     12.4,     11.7,     12.7,     16.9,     18.1,     22.5,     22.2,     11.7,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1983     ,     22.6,     22.3,     22.4,     20.4,     14.5,     13.0,     12.0,     13.6,     21.1,     24.0,     24.0,     22.5,     12.0,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1984     ,     22.4,     23.5,     23.5,     19.6,     19.3,     11.8,      9.4,     15.5,     19.1,     22.1,     23.2,     23.3,      9.4,QC,#
dx,  1013,Lowest monthly temperature in degrees C                                                                                                                                                                 ,1985     ,     20.1,     22.6,     22.7,     18.4,     16.7,     14.2,     11.5,     16.9,     18.1,     20.9,     22.6,     24.0,     11.5,QC,#
